model,params,precision,recall,accuracy,f1-score
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.7053681710213777,0.4098487357844761,0.8675267040651656,0.5184538566290723
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7054351957430635,0.4098487357844761,0.8675363098440022,0.5184719603324255
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.7053961618848565,0.4099039417025505,0.8675363098440022,0.5185055865921787
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7054631828978623,0.4099039417025505,0.8675459156228387,0.5185236914696743
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.7054631828978623,0.4099039417025505,0.8675459156228387,0.5185236914696743
Logistic Regression,"{'C': 1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.7054631828978623,0.4099039417025505,0.8675459156228387,0.5185236914696743
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.3621080468454855,0.846637959589268,0.7138054253438869,0.507260278503622
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.3621336985525042,0.846637959589268,0.7138342426803965,0.5072854472983478
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'lbfgs'}",0.3621442909434408,0.8465827536711935,0.7138534542380697,0.5072859293074645
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.3621121239314221,0.8465275477531191,0.71382463690156,0.5072444591465433
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'newton-cg'}",0.3621121239314221,0.8465275477531191,0.71382463690156,0.5072444591465433
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.36210357286230427,0.8465275477531191,0.7138150311227234,0.5072360695324258
Logistic Regression,"{'C': 1, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.3621121239314221,0.8465275477531191,0.71382463690156,0.5072444591465433
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.7053011590347711,0.4098487357844761,0.8675170982863291,0.518435754189944
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.7052731591448931,0.40979352986640166,0.8675074925074925,0.5183840217884702
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.3621442909434408,0.8465827536711935,0.7138534542380697,0.5072859293074645
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.3621442909434408,0.8465827536711935,0.7138534542380697,0.5072859293074645
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'lbfgs'}",0.36216994945916586,0.8465827536711935,0.7138822715745793,0.5073111022892682
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.3621528433780465,0.8465827536711935,0.7138630600169061,0.5072943200238182
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'newton-cg'}",0.3621528433780465,0.8465827536711935,0.7138630600169061,0.5072943200238182
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.3621442909434408,0.8465827536711935,0.7138534542380697,0.5072859293074645
Logistic Regression,"{'C': 10, 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.3621442909434408,0.8465827536711935,0.7138534542380697,0.5072859293074645
